kanji,hanviet,hiragana,meaning
組む,tổ,くむ,"hiệp lực, tham gia, đoàn kết, vượt qua"
組み立てる,"tổ, lập",くみたてる,lắp ráp
加わる,gia,くわわる,"thêm vào, tăng lên"
加える,gia,くわえる,"tham gia, được cộng vào, tăng thêm"
仕上がる,"sĩ, thượng",しあがる,"được kết thúc, được hoàn thành"
仕上げる,"sĩ, thượng",しあげる,"hoàn thành, kết thúc"
通りかかる,thông,とおりかかる,đi ngang qua
飛び回る,"phi, hồi",とびまわる,"bay về, vội vàng về"
巡る,tuần,めぐる,"quanh quanh, lặp lại, liên quan đến"
補う,bổ,おぎなう,"thêm, bổ sung"
防ぐ,phòng,ふせぐ,"phòng, chống"
救う,cứu,すくう,"cứu, giúp"
除く,trừ,のぞく,"loại trừ, bỏ qua, lấy đi"
省く,tỉnh,はぶく,"bỏ sót, tiết kiệm"
誤る,ngộ,あやまる,mắc lỗi
奪う,đoạt,うばう,"cướp đoạt, trấn lột"
しまう,,しまう,để lại
怠ける,đãi,なまける,lười biếng
失う,thất,うしなう,mất
攻める,công,せめる,tấn công
にらむ,,にらむ,lườm
責める,trách,せめる,đổ lỗi
裏切る,"lí, thiết",うらぎる,"phảm bội, thất vọng"
頼る,lại,たよる,"dựa dẫm, dựa vào"
遭う,tao,あう,gặp gỡ
招く,chiêu,まねく,"mời, ra dấu, gọi, nguyên nhân"
引っ掛かる,"dẫn, phong",ひっかかる,"bị bắt, bị vướng vào, bị lừa"
引っ掛ける,"dẫn, phong",ひっかける,"mắc, lừa đảo, ném vào"
ひっくり返る,phản,ひっくりかえる,"đảo ngược, ngã"
ひっくり返す,phản,ひっくりかえす,"đảo ngược, lật ngửa"
ずれる,,ずれる,"trượt, đi chệch"
ずらす,,ずらす,"đi lạc, thay đổi, đưa ra"
崩れる,băng,くずれる,sụp đổ
崩す,băng,くずす,phá
荒れる,hoang,あれる,"bão bùng, cuồng loạn"
荒らす,hoang,あらす,"tàn phá, đột phá"
認める,nhận,みとめる,"thừa nhận, ủy quyền, xem"
見直す,"kiến, trực",みなおす,"nhìn lại, cân nhắc lại"
見慣れる,"kiến, quán",みなれる,"quen, nhẵn mặt"
求める,cầu,もとめる,"tìm kiếm, yêu cầu, mua"
漏れる,lậu,もれる,"rò rỉ, chạy trốn, bày tỏ, bị bỏ lại"
漏らす,lậu,もらす,"tràn, buông ra, bỏ lỡ"
なる,,なる,đỡ
焦げる,tiêu,こげる,bị cháy
反する,phản,はんする,trái lại
膨れる,bành,ふくれる,"phồng, sưng"
膨らむ,bành,ふくらむ,"to lên, tăng lên"
膨らます,bành,ふくらます,"phồng, phình, được làm đầy bởi"
とがる,,とがる,"nhọn, sắc"
当てはまる,đương,あてはまる,áp dụng
就く,tựu,つく,"kiếm việc, trở thành"
受け持つ,"thụ, trì",うけもつ,đảm trách
従う,tùng,したがう,"theo đó, theo"
つぶやく,,つぶやく,"thì thầm, thì thào"
述べる,thuật,のべる,phát biểu
目覚める,"mục, giác",めざめる,"thức giấc, mở mắt"
限る,hạn,かぎる,"không nhất thiết, là tốt nhất, nhân dịp"
片寄る・偏る,"phiến, kí, thiên",かたよる,dồn về một phía
薄まる,bạc,うすまる,suy nhược
薄める,bạc,うすめる,"pha loãng, suy yếu"
薄れる,bạc,うすれる,"trở nên mờ nhạt, phai màu"
透き通る,"thấu, thông",すきとおる,"trở nên rõ ràng, trở nên trong suốt"
静まる・鎮まる,"tĩnh, trấn",しずまる,"trở nên yên lặng, được bình tĩnh lại"
静める・鎮める,"tĩnh, trấn",しずめる,"yên tĩnh, hạ hỏa, giải tỏa"
優れる,tú,すぐれる,"giỏi, ưu tú, hoàn hảo"
落ち着く,"lạc, trước",おちつく,"giữ bình tĩnh, không phô trương"
長引く,"trường, dẫn",ながびく,được kéo dài
衰える,suy,おとろえる,"trở nên yếu, từ chối"
備わる,bị,そなわる,"được trang bị, được ưu đãi với"
備える,bị,そなえる,"chuẩn bị, trang bị, cung cấp"
蓄える,súc,たくわえる,"dự trữ, tiết kiệm, có trữ lượng lớn"
整う,chỉnh,ととのう,"đã sẵn sàng, được chuẩn bị tốt,"
整える・調える,"chỉnh, điều",ととのえる,"chuẩn bị, sửa, điều chỉnh"
覆う,phúc,おおう,"phủ, bao bọc"
照る,chiếu,てる,chiếu sáng
照らす,chiếu,てらす,được chiếu sáng
染まる,nhiễm,そまる,"được nhuộm, bị ảnh hưởng bởi"
染める,nhiễm,そめる,"nhuộm, đỏ mặt"
ダブる,,ダブる,gấp đôi
あこがれる,,あこがれる,"mong ước, mơ ước"
うらやむ,,うらやむ,"đố kỵ, ghen tị"
あきらめる,,あきらめる,từ bỏ
あきれる,,あきれる,"bị shock, ngạc nhiên"
恐れる,khủng,おそれる,"sợ, dữ tợn, khủng khiếp"
恨む,hận,うらむ,"hận, căm thù"
慰める,úy,なぐさめる,"an ủi, động viên"
インテリア,,インテリア,"nội thất, trang trí"
コーナー,,コーナー,"góc, phần"
カウンター,,カウンター,"quầy tính tiền, bar"
スペース,,スペース,"khoảng trống, phòng"
オープン,,オープン,"mở, mở cửa"
センター,,センター,"trung tâm, ở giữa"
カルチャー,,カルチャー,văn hóa
ブーム,,ブーム,bùng nổ
インフォメーション,,インフォメーション,thông tin
キャッチ,,キャッチ,bắt lấy
メディア,,メディア,truyền thông
コメント,,コメント,bình luận
コラム,,コラム,cột
エピソード,,エピソード,"tập, chuyện vặt"
アリバイ,,アリバイ,ngoại phạm
シリーズ,,シリーズ,"loạt, chuỗi"
ポイント,,ポイント,điểm
キー,,キー,chìa khóa
マスター,,マスター,"bậc thầy, giỏi"
ビジネス,,ビジネス,kinh doanh
キャリア,,キャリア,"nghề nghiệp, vận chuyển"
ベテラン,,ベテラン,"chuyên gia, có kinh nghiệm"
フリー,,フリー,"tự do, độc thân, làm tự do"
エコノミー,,エコノミー,nền kinh tế
キャッシュ,,キャッシュ,tiền mặt
インフレ,,インフレ,lạm phát
デモ,,デモ,"cuộc biểu tình, thuyết minh"
メーカー,,メーカー,"nhà chế tạo, nhà sản xuất, nghệ sĩ"
システム,,システム,hệ thống
ケース,,ケース,trường hợp
パターン,,パターン,mẫu
プラン,,プラン,kế hoạch
トラブル,,トラブル,rắc rối
エラー,,エラー,lỗi
クレーム,,クレーム,"phàn nàn, phản đói"
キャンセル,,キャンセル,hủy bỏ
ストップ,,ストップ,dừng lại
カット,,カット,"cắt bớt, giảm bớt"
カバー,,カバー,"bao bọc, che"
リハビリ,,リハビリ,sự phục hồi
プレッシャー,,プレッシャー,sức ép
カウンセリング,,カウンセリング,tư vấn
キャラクター,,キャラクター,"nhân cách, tính cách"
ユニークな,,ユニークな,độc nhất
ルーズな,,ルーズな,"luộm thuộm, không đúng giờ"
ロマンチックな,,ロマンチックな,lãng mạn
センス,,センス,"giác quan, cảm nhận"
エコロジー,,エコロジー,sinh thái học
ダム,,ダム,đê
コンクリート,,コンクリート,bê tông
単純,"đơn, thuần",たんじゅんな,đơn giản
純粋な,"thuần, túy",じゅんすいな,"trong sáng, nguyên chất"
透明な,"thấu, minh",とうめいな,trong suốt
さわやかな,,さわやかな,"sảng khoái, tươi"
素直な,"tố, trực",すなおな,"vâng lời, dịu dàng, ôn hòa"
率直な,"suất, trực",そっちょくな,"trực tính, thẳng thắn"
誠実な,"thành, thực",せいじつな,thật thà
謙虚な,"khiêm, khư",けんきょな,khiêm tốn
賢い,hiền,かしこい,"thông minh, khôn ngoan"
慎重な,"thận, trọng",しんちょうな,"khôn ngoan, dè dặt"
穏やかな,ổn,おだやかな,"điềm tĩnh, yên lặng"
真剣な,"chân, kiếm",しんけんな,"nghiêm túc, nghiêm trọng"
正式な,"chính, thức",せいしきな,"chính thức, trang trọng"
主な,chủ,おもな,"chính, chủ yếu"
主要な,"chủ, yếu",しゅような,"chủ yếu, chính"
貴重な,"quý, trọng",きちょうな,quý giá
偉大な,"vĩ, đại",いだいな,vĩ đại
偉い,vĩ,えらい,"đáng ngưỡng mộ, vị trí cao"
独特な,"độc, đặc",どくとくな,"độc nhất, đặc biệt"
特殊な,"đặc, thù",とくしゅな,"độc đáo, riêng"
奇妙な,"kì, diệu",きみょうな,kỳ lạ
妙な,diệu,みょうな,"lạ, tò mò"
怪しい,kinh,あやしい,"đáng nghi, nghi ngờ, không chắc chắn"
異常なし,"dị, thường",いじょうな,bất thường
高度な,"cao, độ",こうどな,độ chính xác cao
新たな,tân,あらたな,"mới, được làm mới"
合理的な,"hợp, lý, đích",ごうりてきな,hợp lý
器用な,"khí, dụng",きような,"lanh tay, tài giỏi, khéo léo"
手軽な,"thủ, khinh",てがるな,"nhẹ nhàng, đơn giản"
手ごろな,thủ,てごろな,"hợp lý, phù hợp"
高価な,"cao, giá",こうかな,đắt
ぜいたくな,,ぜいたくな,"sang trọng, lãng phí"
豪華な,"hào, hoa",ごうかな,sang trọng
高級な,"cao, cấp",こうきゅうな,"chất lượng cao, đắt"
上等な,"thượng, đẳng",じょうとうな,"thượng đẳng, đủ tốt"
上品な,"thượng, phẩm",じょうひんな,thượng phẩm
適度な,"thích, độ",てきどな,"thích hợp, vừa phải"
快適な,"khoái, thích",かいてきな,"dễ chịu, sảng khoái"
快い,khoái,こころよい,"hài lòng, dễ chịu"
順調な,"thuận, điều",じゅんちょうな,"thuận tiện, thỏa đáng"
活発な,"hoạt, phát",かっぱつな,hoạt bát
的確な,"đích, xác",てきかくな,"chính xác, xác đáng"
確実な,"xác, thực",かくじつな,"chắc chắn, nhất định"
明らかな,minh,あきらかな,rõ ràng
あいまいな,,あいまいな,"mơ hồ, không rõ ràng"
具体的な,"cụ, thể",ぐたいてきな,cụ thể
抽象的な,"trừu, tượng, đích",ちゅうしょうてきな,trừu tượng
等しい,đẳng,ひとしい,"bằng nhau, bình đẳng"
平等な,"bình, đẳng",びょうどうな,bình đẳng
公平な,"công, bình",こうへいな,công bằng
人物,"nhân, vật",じんぶつ,nhân vật
者,giả,もの,"người, kẻ"
各自,"các, tự",かくじ,mỗi người
気分,"khí, phân",きぶん,"tâm tư, tinh thần"
気配,"phí, phối",けはい,"cảm giác, linh cảm"
生きがい,sinh,いきがい,mục đích sống
行儀,"hành, nghi",ぎょうぎ,"tác phong, cách cư xử"
品,phẩm,ひん,hàng hóa
姿,tư,すがた,"hình ảnh, bóng dáng"
姿勢,"tư, thế",しせい,"tư thế, thái độ"
見かけ,kiến,みかけ,"ngoại hình, nhìn có vẻ"
ふり,,ふり,"đơn sơ, giả vờ"
苦情,"khổ, tình",くじょう,phàn nàn
口実,"khẩu, thực",こうじつ,"xin lỗi, bào chữa"
動機,"động, cơ",どうき,động cơ
皮肉,"bì, nhục",ひにく,"giễu cợt, mỉa mai"
意義,"ý, nghĩa",いぎ,ý nghĩa
主義,"chủ, nghĩa",しゅぎ,"nguyên tắc, niềm tin"
精神,"tinh, thần",せいしん,tinh thần
年代,"niên, đại",ねんだい,"kỷ nguyên, giai đoạn, thế hệ"
世代,"thế, đại",せだい,"thời đại , thế hệ"
基礎,"cơ, bản",きそ,cơ bản
基準,"cơ, chuẩn",きじゅん,tiêu chuẩn
標準,"tiêu, chuẩn",ひょうじゅん,"tiêu chuẩn, cấp bậc, trung bình"
典型,"điển, hình",てんけい,"điển hình, mô hình"
方言,"phương, ngôn",ほうげん,tiếng địa phương
分布,"phân, bố",ぶんぷ,phân phối
発展,"phát, triển",はってん,"phát triển, mở rộng"
文明,"văn, minh",ぶんめい,văn minh
普及,"phổ, cập",ふきゅう,"lan tràn, khuếch tán"
制限,"chế, hạn",せいげん,hạn chế
限度,"hạn, độ",げんど,"hạn chế, có giới hạn"
限界,"hạn, giới",げんかい,"giới hạn, ranh giới"
検討,"kiểm, thảo",けんとう,"nghiên cứu, xem xét"
選択,"tuyển, trạch",せんたく,lựa chọn
考慮,"khảo, lự",こうりょ,xem xét
重視,"trọng, thị",じゅうし,"xem xét, suy tính"
見当,"kiến, đương",けんとう,"phỏng đoná, ước tính"
訂正,"đính, chính",ていせい,đính chính
修正,"tu, chính",しゅうせい,"chỉnh sửa, sửa đổi"
反抗,"phản, kháng",はんこう,"chống, không vâng lời"
抵抗,"đề, kháng",ていこう,"đẩy lui, chống đối"
災難,"tai, nạn",さいなん,"tai nạn, thiên tai"
汚染,"ô, nhiễm",おせん,ô nhiễm
害,hại,がい,có hại
伝染,"truyền, nhiễm",でんせん,truyền nhiễm
対策,"đối, sách",たいさく,"đối sách, biện pháp đối phó"
処置,"xứ, trí",しょち,"biện pháp, xử lý, điều trị"
処分,"xứ, phân",しょぶん,"tiêu hủy, trừng trị"
処理,"xứ, lý",しょり,xử lý
輪,luân,わ,"vòng, lặp"
でこぼこ,,でこぼこ,"lồi lõm, ổ gà"
跡,tích,あと,dấu vết
手間,"thủ, gian",てま,"thời gian, phiền phức"
能率,"năng ,suất",のうりつ,"hiệu quả, năng suất"
性能,"tính, năng",せいのう,"hiệu năng, hiệu quả"
操作,"thao, tác",そうさ,thao tác hoạt động
発揮,"phát, huy",はっき,"phát huy, gắng sức"
頂点,"đỉnh, điểm",ちょうてん,"đỉnh, điểm"
周辺,"chu, biên",しゅうへん,xung quanh
現場,"hiện, trường",げんば,hiện trường
状況,"trạng, huống",じょうきょう,"trạng thái, tình trạng"
組織,"tổ, chức",そしき,tổ chức
制度,"chế, độ",せいど,chế độ
構成,"cấu, thành",こうせい,cấu thành
形式,"hình, thức",けいしき,hình thức
傾向,"khuynh, hướng",けいこう,khuynh hướng
方針,"phương, châm",ほうしん,"phương châm, chính sách"
徹底,"triệt, để",てってい,triệt để
分析,"phân, tích",ぶんせき,phân tích
維持,"duy, trì",いじ,duy trì
管理,"quản, lý",かんり,"quản lý, điều hành, điều khiển"
行方,"hành, phương",ゆくえ,"tung tích, tương lai"
端,đoan,はし,cạnh
場,trường,ば,"địa điểm, kinh nghiệm, dịp"
分野,"phân, dã",ぶんや,lĩnh vực
需要,"nhu, yếu",じゅよう,nhu cầu
供給,"cung, cấp",きょうきゅう,cung cấp
物資,"vật, tư",ぶっし,vật tư
用途,"dụng, đồ",ようと,sử dụng
関連,"quan, liên",かんれん,"liên quan, quan hệ"
消耗,"tiêu, hao",しょうもう,"tiêu thụ, tiêu hao"
欠陥,"khiếm, hãm",けっかん,"khuyết điểm, hỏng"
予備,"dự, bị",よび,"dự bị, dự trữ"
付属,"phó, thuộc",ふぞく,"sự phụ thuộc, sát nhập"
手当,"thủ, đương",てあて,"trị liệu, chuẩn bị"
元,nguyên,もと,"nguyên, ban đầu, lý do"
面,diện,めん,"mặt, mặt phẳng, diện mạo"
説,thuyết,せつ,"thuyết, ý kiến"
差,sa,さ,"sai khác, khoảng cách"
間,gian,ま,"giữa, trong khoảng"
分,phân,ぶん,"thành phần, điều kiện"
筋,cân,すじ,cốt truyện
余裕,"dư, dụ",よゆう,"thừa, dư ra, phụ cấp"
負担,"phụ, đảm",ふたん,gánh chịu
保証,bảo chứng,ほしょう,bảo hành
催促,"thôi, xúc",さいそく,"thúc giục, gợi nhớ"
成立,"thành, lập",せいりつ,thành lập
矛盾,"mâu, thuẫn",むじゅん,mâu thuẫn
存在,"tồn, tại",そんざい,tồn tại
編む,biên,あむ,đan
縫う,phùng,ぬう,"may, khâu lại"
指す,chỉ,さす,"biểu thị, chỉ vào, tham khảo, chơi"
示す,chỉ,しめす,"chỉ, bày tỏ, biểu thị"
注ぐ,chú,そそぐ,"chảy vào, đổ vào"
すすぐ,,すすぐ,"rửa, súc"
触る,xúc,さわる,sờ
触れる,xúc,ふれる,"chạm, đề cập"
抱く,bão,いだく,"ôm, mang, yêu mến"
抱える,bão,かかえる,"mang, cầm"
担ぐ,đảm,かつぐ,"mang, vác"
剥がす,tước,はがす,"bóc ra, lột vỏ"
描く,miêu,えがく,"vẽ, mô tả, tưởng tượng"
砕ける,toái,くだける,"bị vỡ, trơn, hỏng"
砕く,toái,くだく,"phá vỡ, nghiền nát"
ふさがる,,ふさがる,"bị chặn, bị chiếm, khít lại"
ふさぐ,,ふさぐ,"chiếm, chặn. bị trầm cảm"
避ける,tị,さける,"tránh, tránh xa"
よける,,よける,"tránh, để qua một bên"
それる,,それる,"trượt, lỗ, lạc đề"
そらす,,そらす,"trốn tránh, lảng tránh"
見つめる,kiến,みつめる,"nhìn chằm chằm, đối mặt"
眺める,thiếu,ながめる,"nhìn, trông coi"
見合わせる,"kiến, hợp",みあわせる,"nhìn nhau, bị hoãn, bị hủy"
見送る,"kiến, tống",みおくる,đi tiễn (khách)
訪れる,phóng,おとずれる,"đến, thăm"
引き返す,"dẫn, việt",ひきかえす,quay lại
去る,khứ,さる,"trải ra, đi qua, kéo dài"
すする,,すする,"hớp, hút"
味わう,vị,あじわる,"nếm, thưởng thức, trải nghiệm"
匂う,mùi,におう,"có mùi, nực mùi"
飢える,cơ,うえる,đói lả
問う,môn,とう,"hỏi về, yêu cầu"
語る,ngữ,かたる,nói
誓う,thệ,ちかう,"thề, hứa"
支える,chi,ささえる,"hỗ trợ, giúp đỡ"
費やす,tiêu,ついやす,tiêu
用いる,dụng,もちいる,"sử dụng, nhận nuôi, thuê"
改まる,cải,あらたまる,"được cải tiến, được thay thế"
改める,cải,あらためる,"cải tiến, thay thế"
収まる・納まる・治まる,"thu, nạp, trị",おさまる,"thu nạp, định cư, bình tĩnh"
収める・納める・治める,"thu, nạp, trị",おさめる,"giải quyết, đạt được, giao hàng"
沿う・添う,"duyên, thiêm",そう,"dọc theo, men theo"
添える,thiêm,そえる,gắn với
兼ねる,kiêm,かねる,không thể
適する,thích,てきする,"hợp, xứng đáng"
相当する,"tương, đương",そうとうする,tương thích
伴う,bạn,ともなう,"được tham gia, kèm theo, cùng với"
響く,hưởng,ひびく,"vang, vọng"
次ぐ,thứ,つぐ,tiếp theo
略す,lược,りゃくす,"lượt bớt, viết tắt, tóm gọn"
迫る,bách,せまる,"tiến sát, thúc giục, cưỡng bức"
狙う,thư,ねらう,nhắm đến
犯す,phạm,おかす,thực hiện (hành vi phạm tội)
侵す,xâm,おかす,xâm chiếm
冒す,mạo,おかす,"can đảm, đương đầu"
脅す,hiếp,おどす,"bắt nạt, đe dọa"
脅かす,hiếp,おどかす,hù dọa
逆らう,nghịch,さからう,"phản đối, không tuân theo"
妨げる,phướng,さまたげる,ngăn chặn
打ち消す,"đả, tiêu",うちけす,"phủ nhận, bác bỏ"
応じる,ứng,おうじる,"đáp lại, đối ứng"
承る,thừa,うけたまわる,"hiểu, rõ rồi"
頂戴する,"đính, đái",ちょうだいする,"nhận, đồng ý, hài lòng"
学ぶ,học,まなぶ,học
練る,luyện,ねる,"nhào trộn, trau chuốt"
負う,phụ,おう,"mang, vác"
果たす,quả,はたす,hoàn thành
引き受ける,"dẫn, thụ",ひきうける,"nhận, đảm trách"
増す,tăng,ます,tăng lên
欠ける,khiếm,かける,"bỏ lỡ, thiếu sót"
欠かす,khiếm,かかす,"thiếu, lỡ"
澄む,trừng,すむ,trở nên rõ ràng
濁る,trọc,にごる,"dính bùn, đục"
濁す,trọc,にごす,nhập nhằng (nói)
生じる,sinh,しょうじる,"phát sinh, nguyên nhân"
及ぶ,cập,およぶ,"đạt đến, lan ra, tương đương"
及ぼす,cập,およぼす,ảnh hưởng
至る,chí,いたる,"dẫn đến, đi đến"
達する,đạt,たっする,"đến, chạm tới"
実る,thực,みのる,mang lại kết quả tốt
暮れる,mộ,くれる,"tối, hết"
劣る,liệt,おとる,kém hơn
異なる,dị,ことなる,khác
乱れる,loạn,みだれる,"hỗn hoạn, bị nhầm lẫn"
乱す,loạn,みだす,"lộn xộn, làm đảo lộn kế hoạch, làm hỏng"
緩む,hoãn,ゆるす,"nới lỏng, được thư giãn, phá vớ"
緩める,hoãn,ゆるめる,"lỏng, thư giãn, hạ xuống"
錆びる,bộ(kim+thanh),さびる,bị rỉ sét
接する,tiếp,せっする,"gắn với, tiếp xúc, gặp"
属する,thuộc,ぞくする,thuộc về
占める,chiếm,しめる,"chiếm, giữ (vị trí)"
くたびれる,,くたびれる,"bị mệt, bị chán"
恵まれる,huệ,めぐまれる,"được ban phước, được ưa chuộng"
湧く,dũng,わく,"vươn ra, được làm đầy, giống"
ほほえむ,,ほほえむ,cười
ふざける,,ふざける,"đùa cợt, hiếu động"
悔やむ,hối,くやむ,hối tiếc
ためらう,,ためらう,chần chừ
敬う,kính,うやまう,tôn trọng
さっぱり,,さっぱり,"hoàn toàn, sảng khoái, khéo léo, ngăn nắp"
すっきり,,すっきり,"sảng khoái, tươi mới, minh bạch"
実に,thực,じつに,"thực sự là, thực tế, thực ra"
思い切り,"tư, thiết",おもいきり,hết sức
何となく,hà,なんとなく,hơi hơi (cảm giác)
何だか,hà,なんだか,"hơi hơi, 1 chút"
どうにか,,どうにか,"bằng cách nào đó, như thế nào đó"
どうにも,,どうにも,chẳng thể làm gì
何とか,hà,なんとか,"chút nào đó, gì đó"
何とも,hà,なんとも,không…một chút nào
わざと,,わざと,cố ý
わざわざ,,わざわざ,"làm phiền, gây phiền"
せっかく,,せっかく,đã mất công
あいにく,,あいにく,đáng tiếc
案の定,"án, định",あんのじょう,như mong đợi
いよいよ,,いよいよ,"cuối cùng, đã đến lúc, càng ngày càng"
さすが,,さすが,"quả là, như dự đoán, thật đúng là"
とにかく,,とにかく,"dù sao, cách này hay cách khác"
ともかく,,ともかく,"dù sao, đặt (cái gì) sang một bên"
せめて,,せめて,"ít nhất, tối thiểu là"
せいぜい,,せいぜい,"tối đa, nhiều nhất có thể"
どうせ,,どうせ,"dù cho, đằng nào thì"
ぎっしり,,ぎっしり,"lèn chặt, đầy chặt, kín lịch"
ずらりと,,ずらりと,trong một dãy
あっさり,,あっさり,"đơn giản, nhẹ nhàng"
しんと・しいんと,,しんと・しいんと,"yên lặng, lặng lẽ"
ちゃんと,,ちゃんと,"nghiêm túc, cẩn thận, tuyệt đối"
続々,tục,ぞくぞく,"liên tục, cái này sau cái kia"
どっと,,どっと,"tất cả cùng lúc, bất thình lình, bất chợt"
ばったり,,ばったり,"đột nhiên (ngã), đột ngột"
さっさと,,さっさと,nhanh chóng
さっと,,さっと,"nhanh, đột ngột"
すっと,,すっと,"vươn thẳng, (cảm thấy) tỉnh táo"
せっせと,,せっせと,"siêng năng, cần cù"
ざっと,,ざっと,"khoảng, nháp, qua"
こっそり,,こっそり,"bí mật, lén lút"
生き生き,sinh,いきいき,sinh động
ぼんやり,,ぼんやり,"lờ mờ, mơ hồ, lơ đãng"
ふと,,ふと,"đột nhiên, tình cờ"
じかに,,じかに,trực tiếp
一度に,"nhất, độ",いちどに,"một lần, cùng lúc"
一斉に,"nhất, tề",いっせいに,cùng lúc
共に,cung,ともに,cùng với
相互に,"tương, hỗ",そうごに,"lẫn nhau, cùng nhau"
一人一人,"nhất, nhân",ひとりひとり,"từng người một, lần lượt"
いちいち,,いちいち,"từng thứ một, chi tiết"
所々,sở,ところどころ,đây đó
どうか,,どうか,làm ơn
できれば・できたら,,できれば・できたら,nếu có thể
たいして,,たいして,không thú vị lắm
恐らく,khủng,おそらく,có lẽ
むしろ,,むしろ,"hơn, tốt"
果たして,quả,はたして,"quả nhiên, quả thật"
かえって,,かえって,"ngược lại, hơn"
必ずしも,tất,かならずしも,"không hẳn, không cần thiết"
単に,đơn,たんに,"chỉ, đơn giản"
いまだに,,いまだに,vẫn chưa
ついでに,,ついでに,nhân tiện
とりあえず,,とりあえず,"đầu tiên, trong thơi gian này"
万一・万が一,"vạn, nhất",まんいち・まんがいち,"khẩn cấp, trường hợp xấu"
偶然,"ngẫu, nhiên",ぐうぜん,"ngẫu nhiên, bất ngờ"
たまたま,,たまたま,"tình cờ, thỉnh thoảng"
実際,"thực, tế",じっさい,"thực tế, thực sự"
同様,"đồng, dạng",どうよう,giống như
元々,nguyên,もともと,ban đầu
本来,"bản, lai",ほんらい,"từ đầu, nguyên bản"
ある,,ある,"có, một số"
あらゆる,,あらゆる,tất cả
たいした,,たいした,"quan trọng, to lớn"
いわゆる,,いわゆる,cái được gọi là
