kanji,hanviet,hiragana,meaning
許す,,ゆるす,"Cho phép, tha thứ"
,,くだらない,"Vô vị, ngu dốt"
頂上,,ちょうじょう,Đỉnh (núi)
引き返す,,ひきかえす,"Quay trở lại, quay ngược lại"
苦労（する）,,くろう（する）,"Lao tâm, gặp khó khăn"
親不孝,,おやふこう,Bất hiếu
無灯火,,むとうか,Không có đèn
国会議員,,こっかいぎいん,"Nghị viện, thành viên quốc hội"
冗談,,じょうだん,Đùa
視点,,してん,Quan điểm
入社式,,にゅうしゃしき,Lễ đón nhân viên mới vào công ty
腐らせる,,くさらせる,"Hư, thối, hỏng"
同情（する）,,どうじょう（する）,"Đồng tình, đồng cảm"
図々しい,,ずうずうしい,"Trơ tráo, mặt dày"
,,もったいない,"Lãng phí, uổng phí"
過保護,,かほご,"Nâng niu, chiều chuộng"
スニーカー,,スニーカー,"Loại giầy thể thao nhẹ, giày bata"
,,サンダル,Dép xăng đan
,,ハイセール,Giày cao gót
家賃,,やちん,Tiền thuê nhà
新車,,しんしゃ,Xe mới
,,パジャマ,Đồ ngủ
定価,,ていか,Giá cố định
騒音,,そうおん,Tiếng ồn
まいる：困る,,まいる：こまる,Bị phiền
,,マナー,Cách cư xử
宇宙旅行,,うちゅうりょこう,Du lịch vũ trụ
,,ホームページ,Trang chủ
魅力,,みりょく,"Hấp dẫn, ma lực"
,,キノコ,Nấm
発言（する）,,はつげん（する）,Phát ngôn
未定,,みてい,Chưa xác định
実施（する）,,じっし（する）,Thực thi
検討中,,けんとうちゅう,Đang xem xét
就活＝就職活動,,しゅうかつ＝しゅうしょくかつどう,Hoạt động tìm việc của sinh viên năm cuối
卒業単位,,そつぎょうたんい,Tín chỉ tốt nghiệp
締め切り,,しめきり,Hạn chót
誤字,,ごじ,"In nhầm, in sai"
脱字,,だつじ,Thiếu ký tự
燃費,,ねんぴ,"Tiêu hao, tiêu thụ"
洗練（する）,,せんれん（する）,"Làm cho lịch sự, tao nhã"
従業員,,じゅうぎょういん,Nhân viên
幸福,,こうふく,Hạnh phúc
顧客,,こきゃく,Khách hàng
追及（する）,,ついきゅう（する）,"Tìm kiếm, theo đuổi"
欠陥,,けっかん,"Khuyết điểm, khuyết tật"
放置（する）,,ほうち（する）,"Để lại, rời khỏi"
経営,,けいえい,Kinh doanh
一致（する）,,いっち（する）,Nhất trí
,,アニメ,Phim hoạt hình
,,ヒット（する）,"Đánh bóng, đấm bóng"
無名,,むめい,Sự vô danh
声優,,せいゆう,Diễn viên lồng tiếng
新人,,しんじん,Người mới vào
一流,,いちりゅう,Hàng đầu
健全な,,けんぜんな,"Khỏe mạnh, lành mạnh"
,,ずさんな,"Cẩu thả, bất cẩn"
体質,,たいしつ,"Thể chất, thể trạng"
,,たまたま,"Tình cờ, thỉnh thoảng"
実績,,じっせき,Thành tích đạt được
まずい：良くない,,まずい：よくない,Dở: Không tốt
上司,,じょうし,Cấp trên
悪口,,わるくち,Nói xấu
一斉,,いっせい,Đồng loạt
送信（する）,,そうしん（する）,"Truyền, gửi tin"
日帰り,,ひがえり,Đi về trong ngày
仏像,,ぶつぞう,Tượng phật
運送業者,,うんそうぎょうしゃ,"Dịch vụ vận tải, doanh nghiệp vận tải"
部下,,ぶか,Cấp dưới
,,データ,Dữ liệu
流出（する）,,りゅうしゅつ（する）,"Chảy ra, thoát ra"
公,,おおやけ,Công cộng
緊迫,,きんぱく,Căng thẳng
初心者,,初心者,Người mới bắt đầu
誤解（する）,,ごかい（する）,Hiểu nhầm
国産,,こくさん,Sản phẩm trong nước
小型車,,こがたしゃ,Xe kiểu nhỏ
制服,,せいふく,Đồng phục
,,ガードマン,Lính gác
早朝,,そうちょう,Sáng sớm
深夜,,しんや,Đêm khuya
怒鳴る,,どなる,"Gào, thét"
誠意,,せいい,Thành ý
対応（する）,,たいおう（する）,"Đối ứng, ứng phó"
,,マスコミ,Truyền thông đại chúng
連中,,れんちゅう,"Đám, nhóm (Thường chỉ sự nhạo báng)"
群がる,,むらがる,"Kết thành đàn, tập hợp lại"
人件費,,じんけんひ,Chi phí nhân công
抑える,,おさえる,"Kìm nén, hạn chế"
裏目に出る,,うらめにでる,Không như mong đợi
～の手前,,～のてまえ,"~ Trước mặt của ~, trước ~"
解雇,,かいこ,"Sa thải, đuổi việc"
名目,,めいもく,"Danh mục, tên"
廃棄処分,,はいきしょぶん,Xử lý đồ thải
開発,,かいはつ,Phát triển
一般,,いっぱん,Nói chung
取り調べ,,とりしらべ,"Điều tra, thẩm vấn"
正体,,しょうたい,Bản chất thật
使い道,,つかいみち,"Cách sử dụng, mục đích dùng"
廃棄（する）,,はいき（する）,"Thải, bỏ, thanh lý"
部署,,ぶしょ,"Ban, phòng"
,,ダンプカー,Xe tải
揺れる,,ゆれる,Rung (tự động từ)
,,キティちゃん,Mèo Kitty
文具,,ぶんぐ,Văn phòng phẩm
,,グッズ,Hàng hóa
統一（する）,,とういつ（する）,Thống nhất
社交的な,,しゃこうてきな,"Có tính xã giao, hòa đồng"
先輩,,せんぱい,Tiền bối
後輩,,こうはい,"Đàn em, hậu bối"
誰彼なしに：,,だれかれなしに,"Người này, người kia"
床,,ゆか,Sàn nhà
散乱（する）,,さんらん（する）,"Tán loạn, lung tung"
扱う,,あつかう,Đối xử
返信,,へんしん,"Trả lời, hồi âm"
運動会,,うんどうかい,Ngày hội thể thao
,,ビリ,Cuối danh sách
邪魔,,じゃま,"Trở ngại, quấy rầy"
学費,,がくひ,Học phí
合宿,,がっしゅく,Cắm trại
就職（する）,,しゅうしょく（する）,Tìm việc làm
給料,,きゅうりょう,Lương
終電,,しゅうでん,Xe điện chuyến cuối ngày
浅い,,あさい,"Nông, cạn"
飛び込み,,とびこみ,Nhảy vào
お宅,,おたく,Nhà của Anh/chị
手入れ,,ていれ,Chăm sóc
言い訳,,いいわけ,"Biện hộ, phân trần"
低俗,,ていぞく,Thô tục
表現,,ひょうげん,"Từ ngữ, sự diễn tả"
稚拙,,ちせつ,"Kém cỏi, trẻ con"
人目も構わず,,ひとめもかまわず,Không màng đến cái nhìn của người ta
他人が見ているのを気にしないで,,たにんがみているのをきにしないで,Không để ý quan tâm đến việc người khác đang nhìn mình
化粧（する）,,けしょう（する）,Trang điểm
祖母,,そぼ,Bà
嘆く,,なげく,Than thở
強行採決,,きょうこうさいけつ,"Bỏ phiếu bắt buộc, ép bỏ phiếu"
国会,,こっかい,Quốc hội
乱闘騒ぎ,,らんとうさわぎ,Ẩu đẩ
正視,,せいし,Nhìn thẳng
帰宅,,きたく,Về nhà
途中,,とちゅう,"Giữa chừng, giữa đường"
捕まる,,つかまる,"Bị bắt, bị tóm"
不良品,,ふりょうひん,Sản phẩm bị lỗi
契約,,けいやく,Hợp đồng
下請け,,したうけ,Thầu phụ
零細企業,,れいさいきぎょう,Doanh nghiệp nhỉ
軒並み,,のきなみ,"Dãy nhà san sát, nối tiếp nhau"
,,つぶれる,"Sụp, bị phá sản"
言い返す,,いいかえす,Nói lại
船,,ふね,"Thuyền, tàu"
提出,,ていしゅつ,Đề xuất
あっという間に,,あっというまに,Loáng một cái
転覆（する）,,てんぷく（する）,"Lật đổ, xoay"
留年,,りゅうねん,Ở lại lớp
必死,,ひっし,Quyết tâm
通訳,,つうやく,Phiên dịch
自覚,,じかく,Tự giác
不愉快,,ふゆかい,"Khó chịu, không vui"
,,ネット,Mạng internet
瞬時に,,しゅんじに,"Tức thì, ngay lập tức"
,,コンタクトをとる,Liên hệ
花粉症,,かふんしょう,Dị ứng phấn hoa
,,かゆみ,Ngứa
鼻水,,はなみず,Nước mũi
,,ラッシュアワー,Giờ cao điểm
殺人的な,,さつじんてきな,Có tính chất giết người
混雑,,こんざつ,Ùn tắc
支援,,しえん,Ủng hộ
癌,,がん,Ung thư
,,ピアニスト,Nghệ sĩ Piano
万一,,まんいち,Chuyên nghiệp
消火器,,しょうかき,Bình chữa cháy
設置（する）,,せっち（する）,Lắp đặt
車庫,,しゃこ,Nhà xe
原稿,,げんこう,Chịu đựng
我慢（する）,,がまん（する）,Bản thảo
災害,,さいがい,"Thiên tai, thảm họa"
～に備える,,～にそなえる,Chuẩn bị cho ~
非常食,,ひじょうしょく,Khẩu phần khẩn cấp
項目,,こうもく,"Mục, điều khoản"
地下倉庫,,ちかそうこ,Kho tầng hầm
相棒,,あいぼう,"Đối tác, bạn thân"
職務範囲,,しょくむはんい,Phạm vi công việc
外す,,はずす,"Xóa, gỡ, loại bỏ"
額,,ひたい,Trán
,,メモリーチップ,Chip bộ nhớ
行方不明,,ゆくえふめい,"Hành tung bất minh, mất tích"
居眠り,,いねむり,"Ngủ gật, ngủ gục"
,,セルフサービス,Tự phục vụ
危機,,きき,"Khủng hoảng, nguy cơ"
視線,,しせん,"Ánh nhìn, ánh mắt"
感知（する）,,かんち（する）,"Nhận thức, cảm nhận"
俺,,おれ,"Tao (dùng chỉ mình, nói với bạn vè hoặc người dưới mình)"
お前,,おまえ,"Mày (chỉ đối phương, nói với bạn vè hoặc người dưới mình)"
,,プライバシー,Riêng tư
殺虫剤,,さっちゅうざい,Thuốc trừ sâu
容疑者,,ようぎしゃ,Kẻ tình nghi
逮捕（する）,,たいほ（する）,Bắt
全面解決,,ぜんめんかいけつ,Giải pháp hoàn chỉnh
衛星,,えいせい,Vệ sinh
飛躍的に,,ひやくてきに,"Đáng kể, tiến triển, nhảy vọt"
向上（する）,,こうじょう（する）,Nâng cao
感染症,,かんせんしょう,Bệnh truyền nhiễm
怠る,,おこたる,"Quên, bỏ bê, sao nhãng"
復帰,,ふっき,"Trở lại, quay về"
静養,,せいよう,"Tĩnh dưỡng, nghỉ ngơi"
従う,,したがう,"Theo, vâng lời"
悲惨な,,ひさんな,"Bi thảm, thảm khốc"
現場,,げんば,Hiện trường
生産ライン,,せいさんライン,Dây truyền sản xuất
人件費,,じんけんひ,Chi phí nhân công
大幅に,,おおはばに,Khoảng cách khá rộng
削減（する）,,さくげん（する）,Cắt giảm
時給,,じきゅう,Lương giờ
五分咲き,,ごぶざき,Nở nửa chừng
見頃,,みごろ,Thời điểm tốt nhất để xem
スワヒリ語,,スワヒリご,Tiếng Swahili
納品（する）,,のうひん（する）,"Giao hàng, cung cấp"
（週末を）つぶす,,（しゅうまつを）つぶす,Giết thời gian
落ち込む,,おちこむ,"Buồn bã, suy sụp"
肩が凝る,,かたがこる,"Mỏi vai, cứng vai"
悩み,,なやみ,"Lo lắng, căng thẳng"
取引先,,とりひきさき,"Khách hàng, đối tác"
接待,,せったい,Tiếp đãi
防災対策,,ぼうさいたいさく,Các biện pháp phòng chống thiên tai
粗悪な,,そあくな,"Thô lỗ, lỗ mãng"
悪徳業者,,あくとくぎょうしゃ,"Nhà kinh doanh không trung thực, vô đạo đức"
記者,,きしゃ,Phóng viên
各地,,かくち,Các nơi
,,ゲームショー,Game show
,,オフィス,Văn phòng
不祥事,,ふしょうじ,"Vụ bê bối, tai tiếng"
本日,,ほんじつ,Hôm nay
誠に,,まことに,"Rất, thành thất"
激励,,げきれい,Khuyến khích
感激,,かんげき,Cảm kích
研修,,けんしゅう,"Đào tạo, huấn luyện"
～の念：～の気持ち・思い,,～のねん：～のきもち・おもい,Cảm nghĩ/suy nghĩ về ~
誠実な,,せいじつな,Thành thật
合同,,ごうどう,"Kết hợp, cùng"
,,プロジェクト,Dự án
節電,,せつでん,Tiết kiệm điện
設定（する）,,せってい（する）,"Thành lập, thiết lập"
お詫び,,おわび,Xin lỗi
本来,,ほんらい,"Trước nay, thông thường"
恐縮,,きょうしゅく,"Xin lỗi, không dám, Xin hãy bỏ qua"
足元,,あしもと,"Dưới chân, bước đi"
多忙,,たぼう,Rất bận rộn
（時間を）割く,,（じかんを）さく,Dành thời gian/thời giờ
至急,,しきゅう,"Khẩn cấp, gấp"
権威,,けんい,Quyền uy
光栄,,こうえい,"Vinh quang, vinh dự"
就任,,しゅうにん,"Nhậm chức, đảm nhiệm"
席上,,せきじょう,"Tại (cuộc họp, buổi tiệc)"
赤面,,せきめん,"Đỏ mặt, bối rối"
,,かくも,"Quả thật là, Rất nhiều"
盛大な,,せいだいな,"Lớn, vĩ đạt, tráng lệ"
一気飲み,,いっきのみ,Uống một hơi
ご愛顧,,ごあいこ,Sự lui tới của khách hàng quen
命じる,,めいじる,"Ban hành, bổ nhiệm, ra lệnh"
解散（する）,,かいさん（する）,Giải tán
公演,,こうえん,Công diễn
日程,,にってい,Lịch trình
観覧：見物すること,,かんらん：けんぶつすること,"Xem, tham quan"
何分にも,,なにぶんにも,"Ở mức nào, dù sao"
山菜,,さんさい,Rau dại ở núi
不在,,ふざい,"Không hiện diện, không có mặt"
人影,,ひとかげ,"Bóng người, linh hồn"
お悔み,,おくやみ,Lời chia buồn
弊社,,へいしゃ,Công ty chúng tôi
尽力,,じんりょく,"Tận lực, nỗ lực"
賜る,,たまわる,"Trao tặng, tôn vinh"
念願,,ねんがん,Tâm nguyện
不況下,,ふきょうか,Suy thoái
倒産,,とうさん,Phá sản
同業者,,どうぎょうしゃ,Người kinh doanh cùng ngành nghề
同情,,どうじょう,"Đồng tình, đồng cảm"
経営者,,けいえいしゃ,Người quản lý
発揮（する）,,はっき（する）,Phát huy
,,アマチュア,Không chuyên nghiệp
正々堂々と,,せいせいどうどうと,Đường đường chính chính
～に値する,,～にあたいする,"Để xứng đáng, được xứng đáng"
資格,,しかく,"Tư cách, bằng cấp"
努力の甲斐あって,,どりょくのかいあって,"Đáng công sức, nhờ vào sự nỗ lực"
看護師,,かんごし,"Y tá, điều dưỡng"
監督,,かんとく,"Huấn luyện viên, đạo diễn"
,,ナショナルチーム,Đội quốc tế
務める,,つとめる,"Làm việc, tận tâm"
事情,,じじょう,"Sự tình, hoàn cảnh"
喜ばしい,,よろこばしい,"Hân hoan, vui vẻ"
心細い,,こころぼそい,Cô đơn
頼もしい,,たのもしい,"Đáng tin, đáng trông cậy"
情けない,,なさけない,"Thật tệ, quá hổ thẹn"
お遣い,,おつかい,"Chạy việc, làm việc vặt"
,,カタログ,Catalog
奴,,やつ,"Thằng: Dùng khi nói về người nào đó một cách khinh thường, hoặc cấp dưới với tình cảm thân thiện"
商談,,しょうだん,Đàm phán thương mại
,,ぐずぐず（する）,"Chần chừ, lưỡng lự"
,,ライバル,"Đối thủ, người ganh đua"
先方,,せんぽう,Phía bên kia
問い合わせ,,といあわせ,"Yêu cầu thông tin, thắc mắc"
絶好,,ぜっこう,Tuyệt hảo
,,チャンス,Cơ hội
,,リース,Cho thuê
赤字,,あかじ,"Lỗ, thua lỗ"
提示（する）,,ていじ（する）,"Xuất trình, trình bày"
経費,,けいひ,Kinh phí
採算,,さいさん,Lợi nhuận
同行（する）,,どうこう（する）,Đồng hành
南極,,なんきょく,Nam cực
厚着,,あつぎ,Mặc đồ dày
性格,,せいかく,Tính cách
猿,,さる,Con khỉ
履歴書,,りれきしょ,Lý lịch
採用（する）,,さいよう（する）,Tuyển dụng
山百合,,やまゆり,Hoa huệ
（風が）吹く,,かぜがふく,Gió thổi
折れる,,おれる,"Gãy, vỡ"
画家,,がか,Họa sỹ
情熱,,じょうねつ,Nhiệt tình
アクロバット飛行,,アクロバットひこう,Nhào lộn trên không
墜落（する）,,ついらくする,Rơi (máy bay)
急降下（する）,,きゅうこうか（する）,"Đột kích, rơi xuống đột ngột"
噛む,,かむ,"Nhai, cắn"
吠える,,ほえる,Sủa
,,ランナー,Người chạy
食べ放題,,たべほうだい,Ăn Buffet
入れ替え,,いれかえ,Thay thế
全品,,ぜんぴん,Tất cả sản phẩm
企業,,きぎょう,"Công ty, xí nghiệp"
就職（する）,,しゅうしょく（する）,Tìm việc làm
破たん,,はたん,Phá sản
新型,,しんがた,"Mẫu mới, mô hình mới"
医療機器,,いりょうきき,Thiết bị y khoa
技術者,,ぎじゅつしゃ,"Nhà kỹ thuật, kỹ thuật viên"
,,バッテリー,Pin
大会,,たいかい,Đại hội
,,トーナメント,"Giải đấu, cuộc thi đấu loại trực tiếp"
～回戦,,～かいせん,Vòng/trận thứ ~
（列が）空く,,れつがすく,"(hàng, dãy) trống"
～盛り：もっとも～のとき,,～さかり：もっとも～のとき,"~ Đầy, nhiều: Khi ~ nhiều nhất"
健康診断,,けんこうしんだん,Kiểm tra sức khỏe
手術,,しゅじゅつ,Phẫu thuật
内緒,,ないしょ,Bí mật
,,ハッピー,Hạnh phúc
謝る,,あやまる,Xin lỗi
,,こじれる,"Trở nên tồi tệ hơn, phức tạp lên"
連日,,れんじつ,"Hàng ngày, ngày lại ngày"
,,フリーズする,"TReo máy, đóng băng"
,,しっぽ,Cái đuôi
振る,,ふる,"Vẫy, rung"
,,コンクール,Cuộc thi
通用（する）,,つうよう（する）,"Thông dụng, được áp dụng"
,,トップ,"Đầu, đỉnh"
不信,,ふしん,Bất tín
,,キャンセルする,Hủy
戻る,,もどる,Quay lại
地位,,ちい,Vị trí
名誉,,めいよ,Danh dự
得る,,える,Có được
財産,,ざいさん,Tài sản
（健康を）害する,,（けんこうを）がいする,Gây tổn hại sức khỏe
,,アイスホッケー,Khúc khôn cầu
解明（する）,,かいめい（する）,"Làm sáng tỏ, minh bạch"
宇宙人,,うちゅうじん,Người ngoài hành tinh
交通ルール,,こうつうルール,Luật giao thông
（地位に）就く,,（ちいに）つく,Được bổ nhiệm vào (vị trí)
基本料金,,きほんりょうきん,Phí cơ bản
誠意,,せいい,Thành ý
食後,,しょくご,Sau khi ăn
欠かす,,かかす,"Bỏ lỡ, lỡ, thiếu sót"
,,そば,Mỳ soba
無理やり,,むりやり,"Một cách cưỡng chế, một cách bắt buộc"
お見合い,,おみあい,"Xem mặt, nam nữ gặp nhau để tìm hiểu"
用件,,ようけん,Việc
帰国（する）,,きこく（する）,Về nước
挨拶（する）,,あいさつ（する）,Chào hỏi
,,おにぎり,Cơm nắm
判決,,はんけつ,Phán quyết
被害者,,ひがいしゃ,Nạn nhân
納得（する）,,なっとく（する）,"Sự lý giải, sự đồng ý"
人員削減,,じんいんさくげん,Cắt giảm nhân viên
,,メリット,"Ưu điểm, lợi điểm"
流行る,,はやる,"Lan rộng, thịnh hành"
宝物,,たからもの,Báu vật
検討（する）,,けんとう（する）,"Kiểm thảo, xem xét"
,,ネットカフェ,Quán cafe internet
,,カラオケ,Karaoke
一晩,,ひとばん,Một đêm
（家を）継ぐ,,（いえを）つぐ,Thừa kế (căn nhà)
裁判,,さいばん,Xét xử
～に訴える,,～にうったえる,"Khởi kiện ~, kiện cáo ~"
我慢（する）,,がまん（する）,Chịu đựng
悔しい,,くやしい,"Đáng tiếc, đáng ân hận"
半日,,はんにち,Nửa ngày
差,,さ,"Sực chênh lệch, cách biệt"
契約,,けいやく,Hợp đồng
アポ（＝アポイントメント）を取る,,アポ（＝アポイントメント）をとる,Lấy cuộc hẹn
,,っす,"Là cách nói đặc thù rút gọn từ ""です・ます"", được dùng bởi một số người nam trẻ tuổi, thường đi với thể thông thường"
片っ端から,,かたっぱしから,"Một đầu, một chút, một phần nhỏ"
,,パンフレット,Quyển sách hướng dẫn nhỏ
条件,,じょうけん,Điều kiện
儲かる,,もうかる,"Sinh lời, có lời"
リース料,,リースりょう,Phí cho thuê
仮に,,かりに,"Giả sử, nếu, tạm thời"
馬鹿,,ばか,Ngu ngốc
立ち直り,,たちなおり,"Lấy lại chỗ đứng, khôi phục lại"
退屈な,,たいくつな,Nhàm chán
,,カートゲーム,Card game
,,たばこ,Thuốc lá
吸い殻,,すいがら,Tàn thuốc
迷子,,まいご,Trẻ lạc
眼下,,がんか,Dưới mắt
紅葉,,こうよう,Lá đỏ mùa thu
奨学金,,しょうがくきん,Học bổng
応募（する）,,おうぼう（する）,"Đăng ký, xin ứng tuyển"
告白（する）,,こくはく（する）,"Tỏ tình, thú nhận"
真実,,しんじつ,"Sự thật, chân thực"
確かめる,,たしかめる,"Xác định, xác nhận"
死亡,,しぼう,"Chết, tử vong"
不可能,,ふかのう,"Không thể, không có khả năng"
済む,,すむ,"Xong, hoàn thành"
騒音,,そうおん,Tiếng ồn
大家,,おおや,Chủ nhà
失恋（する）,,しつれん（する）,Thất tình
,,やけになる,"Liều mình, liều mạng"
負荷,,ふか,Gánh nặng
出版業界,,しゅっぱんぎょうかい,Ngành xuất bản
破壊（する）,,はかい（する）,Phá hoại
野生動物,,やせいどうぶつ,Động vật hoang dã
進学,,しんがく,Học lên đại học
提案,,ていあん,Đề án
裁判官,,さいばんかん,Thẩm phán
被告,,ひこく,Bị cáo
同情的,,どうじょうてき,"Đồng tình, đồng cảm"
大した差：大きな違い,,たいしたさ：おおきなちがい,Khoảng cách lớn: Sự khác nhau lớn
無実,,むじつ,Vô tội
証明（する）,,しょうめい（する）,Chứng minh
頑固な,,がんこな,Ngoan cố
教授,,きょうじゅ,Giáo sư
研究論文,,けんきゅうろんぶん,Luận văn nghiên cứu
認める,,みとめる,"Chấp nhận, thừa nhận"
,,ファン,Người hâm mộ
苦労（する）,,くろう（する）,Khổ cực
異界,,いかい,Thế giới khác
物心がつく,,ものごころがつく,Lúc bắt đầu hiểu biết
修行,,しゅぎょう,"Tu hành, luyện tập"
赤ん坊,,あかんぼう,Em bé
手入れ,,ていれ,Chăm sóc
,,マラソン,Chạy đường dài
抜く,,ぬく,Nhổ
接戦,,せっせん,Tiếp chiến
繰り広げる,,くりひろげる,"Mở ra, trải ra"
人ごみ,,ひとごみ,Đám đông
川面,,かわも,Bề mặt sông
紅葉,,もみじ,Lá đỏ mùa thu
浮く,,うく,Nổi
沈む,,しずむ,"Chìm, lắng"
ご近所同士,,ごきんじょどうし,Hàng xóm với nhau
（関係を）築く,,（かんけいを）きずく,"Tạo, xây dựng"
各社,,かくしゃ,Các công ty
故郷,,こきょう,"Cố hương, quê"
知人,,ちじん,Người quen
誘い,,さそい,"Lời mời, rủ rê"
物体,,ぶったい,VẬt thể
端,,はし,"Đầu, rìa"
落書き,,らくがき,Viết bậy
商店街,,しょうてんがい,Khu mua bán
（匂いが）漂う,,（においが）ただよう,(Mùi) phảng phất
観客,,かんきゃく,"Quan khách, người xem"
拍手,,はくしゅ,Vỗ tay
課長,,かちょう,Trưởng nhóm
,,ぶつぶつ（つぶやく）,"Lầm bầm, làu bàu"
,,つぶやく,"Thì thầm, lầm bầm"
独自,,どくじ,"Độc lập, độc đáo"
（ビジネスを）立ち上げる,,（ビジネスを）たちあげる,"Khởi nghiệp, bắt đầu"
島民,,とうみん,Dân đảo
取り組み,,とりくみ,"Nỗ lực, bắt tay vào"
,,ロケット,Tên lửa
広報活動,,こうほうかつどう,Hoạt động quan hệ công chúng
発生,,はっせい,Phát sinh
一刻も早く：少しでも早く,,いっこくもはやく：すこしでもはやく,Sớm hết mức có thể
志望校,,しぼうこう,Trường muốn vào
出産,,しゅっさん,"Sinh đẻ, sinh sản"
～に立ち会う,,～にたちあう,"Chứng kiến, có mặt ở ~"
,,メディア,Phương tiện truyền thông
速報,,そくほう,Tin nhanh
克服（する）,,こく（する）,"Khắc phục, chinh phục"
配置（する）,,はいち（する）,"Sắp đặt, bố trí"
,,メロディー,Giai điệu
幽霊,,ゆうれい,"Ma, ma quỷ"
亡くす,,なくす,Làm mất
,,めっきり,Rõ ràng
老ける,,ふける,Già
再婚（する）,,さいこん（する）,Tái hôn
仏陀,,ぶっだ,Phật Thích Ca
非凡な,,ひぼんな,"Thần kỳ, phi phàm"
才能,,さいのう,Tài năng
発揮（する）,,はっき（する）,Phát huy
手品,,てじな,"Ảo thuật, trò chơi"
裏切る,,うらぎる,"Phản bội, thay lòng"
見事な,,みごとな,"Tuyệt vời, ngoạn mục"
お供の人,,おとものひと,"Người đi cùng, bạn đồng hành"
墓,,はか,Ngôi mộ
製法,,せいほう,Công thức chế tạo
,,オンデマンド,Theo yêu cầu
講座,,こうざ,Khóa học
自宅,,じたく,Nhà riêng
,,ペース,"Tốc độ, nhịp độ"
,,システム,Hệ thống
内部告発,,ないぶこくはつ,Chặn lại (điều phi pháp) bằng cách báo chính quyền
良心,,りょうしん,Lương tâm
～に従う,,～にしたがう,"Theo, phục tùng ~"
激流,,げきりゅう,Dòng chảy mạnh
,,カヌー,Ca nô
連日,,れんじつ,"Hàng ngày, ngày lại ngày"
度重なる,,たびかさなる,Lặp đi lặp lại
惑星探査機,,わくせいたんさき,Phi thuyền/tàu thăm dò hành tinh
,,はやぶさ,Hayabusa: Tên của một con tàu thăm dò
帰還（する）,,きかん（する）,"Trở về, hồi hương"
初出場,,はつしゅつじょう,Lần đầu xuất hiện
,,プレッシャー,"Áp lực, sức ép"
,,オリンピック,"Thế vận hội, Olimpic"
金メダル,,きんメダル,Huy chương vàng
獲得（する）,,かくとく（する）,"Thu được, giành được"
登山隊,,とざんたい,Đội leo núi thám hiểm
悪天候,,あくてんこう,Thời tiết khắc nghiệt
登頂,,とうちょう,Leo lên đỉnh
砂漠,,さばく,Sa mạc
過酷な,,かこくな,"Khắc nghiệt, khó khăn"
,,マシントラブル,Sự cố máy móc
予備校,,よびこう,Trường/lò luyện thi
振興,,しんこう,"Thúc đẩy, khuyến khích"
力を注ぐ,,ちからをそそぐ,"Đổ sức vào,tập trung công sức"
陶芸家,,とうげいか,Thợ làm gốm
自給自足,,じきゅうじそく,Tự cung tự cấp
育児,,いくじ,Nuôi con
動物園,,どうぶつえん,Sở thú
飼育（する）,,しいく（する）,Chăn nuôi
展示（する）,,てんじ（する）,Triển lãm
社会人野球,,しゃかいじんやきゅう,Bóng chày nghiệp dư dành cho người lớn
営む,,いとなむ,"Điều khiển, kinh doanh"
果樹園,,かじゅえん,Vườn cây ăn trái
栽培,,さいばい,"Canh tác, trồng trọt"
商工会議所,,しょうこうかいぎしょ,Phòng thương mại công nghiệp
議長,,ぎちょう,"Chủ tịch, chủ tọa"
活躍（する）,,かつやく（する）,Tham gia vào các hoạt động
,,ジャム,Mứt
繁殖,,はんしょく,"Phồn thực, sinh sôi"
～に力を入れる,,～にちからをいれる,Bỏ công sức vào ~
～に励む,,～にはげむ,"Phấn đấu, cố gắng vào ~"
表情,,ひょうじょう,"Biểu hiện trên khuôn mặt, vẻ mặt"
小鬼,,こおに,Quỷ con
謎,,なぞ,Bí ẩn
現れる,,あらわれる,"Xuất hiện, lộ ra"
懐,,ふところ,"Ngực áo, ngực, bộ ngực"
刀,,かたな,"Kiếm, gươm"
～に伝わる,,～につたわる,"Được truyền bá cho ~, được chuyển đi"
宝,,たから,"Châu báu, của cải"
ギラリとした（光）,,ギラリとした（ひかり）,"(ánh sáng) nhấp nháy, lấp lánh"
恐れる,,おそれる,Sợ
慌てる,,あわてる,"Hoảng sợ, vội vàng"
楽園,,らくえん,"Lạc cảnh, thiên đường"
創る,,つくる,"Làm, sáng tạo"
薄紙,,うすがみ,Giấy mỏng
透ける,,すける,Trong suốt
溶ける,,とける,Tan chảy
満月,,まんげつ,Trăng tròn
腰を下ろす,,こしをおろす,Ngồi xuống
徐々に,,じょじょに,"Dần dần, từ từ"
冗談,,じょうだん,"Trò đùa, chuyện đùa"
口調,,くちょう,"Giọng nói, giọng điệu"
非難,,ひなん,"Trách móc, đổ lỗi"
黙々と（働く）,,もくもくと（はたらく）,"(làm việc) một cách lặng lẽ, im lặng mà làm"
生涯,,しょうがい,Cuộc đời
作り話,,つくりばなし,"Câu chuyện tạo ra, chuyện hư cấu"
美談,,びだん,"Câu chuyện ấn tượng, giai thoại"
,,モナリザ,Mona lisa
微笑み,,ほほえみ,Mỉm cười
魅了（する）,,みりょう（する）,"Mê hoặc, cuốn hút"
被害者,,ひがいしゃ,Người bị hại
謝罪,,しゃざい,"Tạ tội, xin lỗi"
不正,,ふせい,"Phi pháp, bất chính"
暴く,,あばく,"Vạch trần, phơi bày"
言い訳,,いいわけ,"Biện hộ, phân trần"
脅迫,,きょうはく,"Đe dọa, uy hiếp"
